did,disease,precaution_1,Precaution_2,precaution_3,precaution_4,description,estimated_expense_for_treatment,recovery_time_days,category
21,Hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",30826.52393,-1,C
22,Urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.",31789.51857,18,B
23,Varicose veins,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.",32752.51321,60,B
24,AIDS,avoid open cuts,wear ppe if possible,consult doctor,follow up,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",33715.50786,-1,B
25,Paralysis (brain hemorrhage),massage,eat healthy,exercise,consult doctor,"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body.",34678.5025,90,C
26,Typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",3333.33,15,C
27,Hepatitis B,consult nearest hospital,vaccination,eat healthy,medication,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",5555.55,15,C
28,Fungal infection,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",6666.66,14,A
29,Hepatitis C,Consult nearest hospital,vaccination,eat healthy,medication,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.",2312.45,15,A
30,Migraine,meditation,reduce stress,use poloroid glasses in sun,consult doctor,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",3455.88,-1,A
31,Bronchial Asthma,switch to loose cloothing,take deep breaths,get away from trigger,seek help,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",23056.8828,-1,A
32,Alcoholic hepatitis,stop alcohol consumption,consult doctor,medication,follow up,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol",23213.60142,15,A
33,Jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it",33232.55,15,A
34,Hepatitis E,stop alcohol consumption,rest,consult doctor,medication,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,4444.65,15,C
35,Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",23683.75729,20,B
36,Hepatitis D,consult doctor,medication,eat healthy,follow up,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).",23840.47592,30,B
37,Heart attack,call ambulance,chew or swallow asprin,keep calm,,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.",23997.19454,5,B
38,Pneumonia,consult doctor,medication,rest,follow up,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",55555.34,10,B
39,Arthritis,exercise,use hot and cold therapy,try acupuncture,massage,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.",24310.63179,90,B
40,Gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",3456.432,2,B
41,Tuberculosis,cover mouth,consult doctor,medication,rest,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",4544.67,30,B
42,,cover mouth,consult doctor,,,,24310.63179,3,B
